Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10
2005,Alameda,1,Diabetes Short-term Complications,538,1102068,48.8,47.3,,,
2006,Alameda,1,Diabetes Short-term Complications,479,1106823,43.3,42,,,
2007,Alameda,1,Diabetes Short-term Complications,475,1117973,42.5,41.3,,,
2008,Alameda,1,Diabetes Short-term Complications,531,1136417,46.7,45.5,,,
2009,Alameda,1,Diabetes Short-term Complications,586,1155287,50.7,49.4,,,
2010,Alameda,1,Diabetes Short-term Complications,614,1169910,52.5,51.3,,,
2011,Alameda,1,Diabetes Short-term Complications,607,1186810,51.1,50.1,,,
2012,Alameda,1,Diabetes Short-term Complications,598,1173980,50.9,50.9,,,
2013,Alameda,1,Diabetes Short-term Complications,612,1197759,51.1,51.2,,,
2014,Alameda,1,Diabetes Short-term Complications,601,1192027,50.4,50.2,,,
2015,Alameda,1,Diabetes Short-term Complications,454,923607,49.2,49.9,,,
2016,Alameda,1,Diabetes Short-term Complications,,,,,442,"1,307,762",33.8
2017,Alameda,1,Diabetes Short-term Complications,,,,,447,"1,318,527",33.9
2005,Alpine,1,Diabetes Short-term Complications,0,979,0,0,,,
2006,Alpine,1,Diabetes Short-term Complications,0,1001,0,0,,,
2007,Alpine,1,Diabetes Short-term Complications,0,1009,0,0,,,
2008,Alpine,1,Diabetes Short-term Complications,0,957,0,0,,,
2009,Alpine,1,Diabetes Short-term Complications,0,947,0,0,,,
2010,Alpine,1,Diabetes Short-term Complications,0,895,0,0,,,
2011,Alpine,1,Diabetes Short-term Complications,0,888,0,0,,,
2012,Alpine,1,Diabetes Short-term Complications,0,2975,0,0,,,
2013,Alpine,1,Diabetes Short-term Complications,0,2967,0,0,,,
2014,Alpine,1,Diabetes Short-term Complications,0,2018,0,0,,,
2015,Alpine,1,Diabetes Short-term Complications,0,3000,0,0,,,
2016,Alpine,1,Diabetes Short-term Complications,,,,,0,872,0
2017,Alpine,1,Diabetes Short-term Complications,,,,,0,927,0
2005,Amador,1,Diabetes Short-term Complications,12,31101,38.6,40.3,,,
2006,Amador,1,Diabetes Short-term Complications,9,31460,28.6,30,,,
2007,Amador,1,Diabetes Short-term Complications,13,31883,40.8,42.9,,,
2008,Amador,1,Diabetes Short-term Complications,12,31619,38,40.2,,,
2009,Amador,1,Diabetes Short-term Complications,5,31769,15.7,16.7,,,
2010,Amador,1,Diabetes Short-term Complications,10,31720,31.5,33.7,,,
2011,Amador,1,Diabetes Short-term Complications,9,31760,28.3,30.4,,,
2012,Amador,1,Diabetes Short-term Complications,13,32614,39.9,41.9,,,
2013,Amador,1,Diabetes Short-term Complications,21,32252,65.1,68.9,,,
2014,Amador,1,Diabetes Short-term Complications,24,33225,72.2,77,,,
2015,Amador,1,Diabetes Short-term Complications,11,24635,44.7,47.1,,,
2016,Amador,1,Diabetes Short-term Complications,,,,,10,"31,629",31.6
2017,Amador,1,Diabetes Short-term Complications,,,,,11,"32,756",33.6
2005,Butte,1,Diabetes Short-term Complications,130,165310,78.6,76.3,,,
2006,Butte,1,Diabetes Short-term Complications,126,167351,75.3,73.1,,,
2007,Butte,1,Diabetes Short-term Complications,140,168208,83.2,81.2,,,
2008,Butte,1,Diabetes Short-term Complications,150,169793,88.3,86.4,,,
2009,Butte,1,Diabetes Short-term Complications,115,170726,67.4,66.1,,,
2010,Butte,1,Diabetes Short-term Complications,143,171576,83.3,82.1,,,
2011,Butte,1,Diabetes Short-term Complications,148,172643,85.7,84,,,
2012,Butte,1,Diabetes Short-term Complications,170,169573,100.3,99.7,,,
2013,Butte,1,Diabetes Short-term Complications,167,170817,97.8,97.3,,,
2014,Butte,1,Diabetes Short-term Complications,183,175975,104,102.9,,,
2015,Butte,1,Diabetes Short-term Complications,116,128928,90,90.2,,,
2016,Butte,1,Diabetes Short-term Complications,,,,,142,"181,019",78.4
2017,Butte,1,Diabetes Short-term Complications,,,,,120,"183,424",65.4
2005,Calaveras,1,Diabetes Short-term Complications,10,35913,27.8,29.6,,,
2006,Calaveras,1,Diabetes Short-term Complications,14,36599,38.3,40.7,,,
2007,Calaveras,1,Diabetes Short-term Complications,37,36944,100.2,107.2,,,
2008,Calaveras,1,Diabetes Short-term Complications,30,37092,80.9,87,,,
2009,Calaveras,1,Diabetes Short-term Complications,47,36875,127.5,138,,,
2010,Calaveras,1,Diabetes Short-term Complications,40,36801,108.7,118.2,,,
2011,Calaveras,1,Diabetes Short-term Complications,27,36652,73.7,80.5,,,
2012,Calaveras,1,Diabetes Short-term Complications,24,37597,63.8,68.8,,,
2013,Calaveras,1,Diabetes Short-term Complications,22,37646,58.4,63.3,,,
2014,Calaveras,1,Diabetes Short-term Complications,25,38886,64.3,69.9,,,
2015,Calaveras,1,Diabetes Short-term Complications,25,28698,87.1,94.4,,,
2016,Calaveras,1,Diabetes Short-term Complications,,,,,9,"37,554",24
2017,Calaveras,1,Diabetes Short-term Complications,,,,,30,"37,884",79.2
2005,Colusa,1,Diabetes Short-term Complications,5,14456,34.6,33.8,,,
2006,Colusa,1,Diabetes Short-term Complications,2,14677,13.6,13.3,,,
