county,site,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017
Alameda,Berkeley-6th Street,*,*,*,*,*,*,*,*
Alameda,Berkeley-Aquatic Park,*,*,*,*,*,*,*,7.1
Alameda,Fremont-Chapel Way,*,*,*,*,*,*,*,*
Alameda,Livermore-793 Rincon Avenue,0,2,0,4,1.2,0,0,2
Alameda,Oakland-9925 International Blvd,0,3,0,2,1,1,0,7
Alameda,Oakland-Laney College,*,*,*,*,*,1,0,8
Alameda,Oakland-West,*,*,*,2.2,1,3.3,0,7.1
Butte,Chico-East Avenue,*,*,*,2.1,1,2.2,1.2,2.3
Butte,Chico-Manzanita Avenue,0,36.5,*,*,*,*,*,*
Butte,Gridley-Cowee Avenue,*,*,*,*,*,*,*,*
Butte,Paradise-Fire Station #1,*,*,*,*,*,*,*,*
Butte,Paradise-Theater,*,*,*,*,*,*,*,*
Calaveras,San Andreas-Gold Strike Road,0,0,0,1.1,0,4,0,*
Contra Costa,Concord-2975 Treat Blvd,1,2.1,0,1,0,0,0,6
Contra Costa,San Pablo-Rumrill Blvd,*,*,*,2,1.1,0,0,9.3
Colusa,Colusa-Sunrise Blvd,*,*,0,0,0,0,0,7.7
Del Norte,CRESCENT CITY-CRESCENT ELK SCHOOL,*,*,*,*,*,*,*,*
Fresno,Clovis-N Villa Avenue,19.8,38.3,24.1,25.1,40.4,15.4,8.2,19.2
Fresno,Fresno-1st Street,21.7,39,*,*,*,*,*,*
Fresno,Fresno-Garland,*,*,29.4,42,34,20,16,31.1
Fresno,Fresno-Hamilton and Winery,9.5,38,22.7,*,24.8,16.3,15.3,27.6
Fresno,Huron-16875 4th Street,*,*,*,*,*,*,*,*
Fresno,Tranquility-32650 West Adams Avenue,*,2.1,0,7.5,*,7.6,2.4,6
Glenn,Willows-720 N Colusa Street,*,*,*,*,*,*,*,*
Humboldt,Eureka-Humboldt Hill,*,*,0,0,0,0,0,*
Humboldt,Eureka-I Street,0,*,*,0,*,*,*,*
Humboldt,Eureka-Jacobs,0,*,0,*,*,0,0,3.1
Imperial,Brawley-220 Main Street,*,3.2,0,0,0,0,5.9,3.1
Imperial,Calexico-East,*,*,*,*,*,*,*,*
Imperial,Calexico-Ethel Street,6.3,*,*,3,9.9,3.5,4.5,5.5
Imperial,El Centro-9th Street,0,6.2,0,0,0,0,0,0
Inyo,Bishop-Line,*,*,*,*,*,*,0,0
